threshold,true_negative,false_positive,false_negative,true_positive,precision,recall,f1,accuracy,specificity,model
0.2,284,28566,4,12391,0.30253680689503626,0.999677289229528,0.4644999250262408,0.3073099769669051,0.009844020797227036,rf_baseline
0.25,3508,25342,106,12289,0.32656586325104303,0.991448164582493,0.4913045216487427,0.38300400048490724,0.12159445407279029,rf_baseline
0.3,7012,21838,415,11980,0.35424921639363655,0.9665187575635337,0.5184688291173479,0.4604679355073342,0.24305025996533797,rf_baseline
0.35,10028,18822,857,11538,0.38003952569169963,0.9308592174263816,0.5397263477955795,0.5228755000606135,0.34759098786828424,rf_baseline
0.4,12900,15950,1487,10908,0.4061359743837963,0.8800322710770472,0.5557791761139277,0.577233604073221,0.44714038128249567,rf_baseline
0.45,16268,12582,2339,10056,0.44420885237211766,0.8112948769665188,0.5740872891273943,0.63823493756819,0.5638821490467938,rf_baseline
0.5,18955,9895,3302,9093,0.4788813987781757,0.7336022589753933,0.5794857088232482,0.680033943508304,0.6570190641247834,rf_baseline
0.55,21207,7643,4202,8193,0.517365496337459,0.6609923356192013,0.5804257730863236,0.7128136743847739,0.7350779896013865,rf_baseline
0.6,23212,5638,5231,7164,0.5596000624902359,0.5779749899152884,0.5686391237052029,0.7364771487453025,0.8045753899480069,rf_baseline
0.65,25289,3561,6670,5725,0.6165194917079474,0.4618797902379992,0.5281121719477884,0.7519456903867135,0.8765684575389948,rf_baseline
0.7,27500,1350,8819,3576,0.7259439707673568,0.28850342880193625,0.4129091853819063,0.7534489028973209,0.9532062391681109,rf_baseline
0.75,28401,449,10494,1901,0.808936170212766,0.15336829366680113,0.25785011868429975,0.7346829918778034,0.9844367417677643,rf_baseline
0.8,28850,0,12395,0,0.0,0.0,0.0,0.6994787246939023,1.0,rf_baseline
0.2,6279,22571,149,12246,0.35172473217106587,0.9879790237999193,0.5187664153181394,0.4491453509516305,0.21764298093587522,rf_tuned
0.25,8595,20255,304,12091,0.3738020157051877,0.9754739814441307,0.5404885898839991,0.5015395805552189,0.2979202772963605,rf_tuned
0.3,11416,17434,610,11785,0.4033334474143537,0.9507866075030255,0.566395924448503,0.5625166686871136,0.3957019064124783,rf_tuned
0.35,14273,14577,1013,11382,0.4384606494857275,0.918273497377975,0.593523491682745,0.6220147896714753,0.4947313691507799,rf_tuned
0.4,16517,12333,1521,10874,0.4685655190244323,0.8772892295280355,0.6108645581708892,0.6641047399684811,0.5725129982668977,rf_tuned
0.45,18655,10195,2158,10237,0.5010277995301488,0.8258975393303751,0.6236939105005026,0.7004970299430234,0.6466204506065858,rf_tuned
0.5,20780,8070,3026,9369,0.5372441080337176,0.7558693021379589,0.6280753502715023,0.7309734513274336,0.7202772963604853,rf_tuned
0.55,22738,6112,4036,8359,0.5776380346900698,0.6743848325937878,0.6222735055460433,0.7539580555218814,0.7881455805892548,rf_tuned
0.6,24289,4561,5019,7376,0.6179106978302756,0.5950786607503026,0.6062797961532138,0.7677294217480907,0.8419064124783362,rf_tuned
0.65,25717,3133,6074,6321,0.6686058811085255,0.509963695038322,0.5786077166003021,0.7767729421748091,0.8914038128249566,rf_tuned
0.7,27107,1743,7383,5012,0.7419689119170985,0.40435659540137153,0.5234464751958224,0.7787368165838283,0.9395840554592721,rf_tuned
0.75,27868,982,8712,3683,0.7894962486602358,0.29713594191206133,0.4317702227432591,0.7649654503576191,0.9659618717504332,rf_tuned
0.8,28322,528,9954,2441,0.8221623442236443,0.19693424768051634,0.31775579276230154,0.7458601042550612,0.9816984402079723,rf_tuned
0.2,11503,17347,478,11917,0.4072238928376162,0.9614360629286003,0.5721212703137377,0.5678264032003879,0.39871750433275566,gbt
0.25,13544,15306,759,11636,0.43189072823101476,0.9387656313029448,0.5916058672496631,0.6104982422111771,0.46946273830155977,gbt
0.3,15341,13509,1084,11311,0.4557211925866237,0.9125453812020976,0.6078731694209325,0.6461874166565644,0.5317504332755633,gbt
0.35,16855,11995,1394,11001,0.4783875456601148,0.8875352964905203,0.6216834788505552,0.6753788337980361,0.5842287694974003,gbt
0.4,18248,10602,1717,10678,0.5017857142857143,0.8614764017749093,0.6341796585003712,0.70132137228755,0.6325129982668978,gbt
0.45,19579,9271,2089,10306,0.5264340808091127,0.8314643001210166,0.6446891029650945,0.7245726754758153,0.6786481802426343,gbt
0.5,20867,7983,2554,9841,0.552120736086176,0.7939491730536506,0.651312088421192,0.744526609285974,0.7232928942807626,gbt
0.55,22173,6677,3204,9191,0.5792160322661961,0.7415086728519564,0.6503909705268371,0.7604315674627228,0.7685615251299827,gbt
0.6,23311,5539,3862,8533,0.6063814667424673,0.6884227511093183,0.6448029621793177,0.7720693417383925,0.8080069324090121,gbt
0.65,24410,4440,4606,7789,0.636928612314989,0.6283985478015329,0.6326348278102664,0.7806764456297733,0.8461005199306759,gbt
0.7,25371,3479,5443,6952,0.666474930495638,0.5608713190802743,0.609129939542627,0.783682870650988,0.8794107452339688,gbt
0.75,26299,2551,6347,6048,0.703337597395046,0.4879386849536103,0.5761646184624178,0.7842647593647715,0.91157712305026,gbt
0.8,27159,1691,7408,4987,0.7467804731955675,0.40233965308592173,0.5229381848686625,0.7793914413868348,0.9413864818024263,gbt
